recorded_at,battery,pm_1,pm_25,pm_10
2026-05-06T21:55:37Z,,,,
2026-05-06T21:56:14Z,99,,,
2026-05-06T22:01:54Z,99,4,9,10
2026-05-06T22:03:54Z,99,1,4,5
2026-05-06T22:05:54Z,99,2,5,7
2026-05-06T22:07:54Z,99,3,8,15
2026-05-06T22:09:54Z,99,3,8,8
2026-05-06T22:11:54Z,99,5,7,8
2026-05-06T22:13:54Z,99,5,8,8
2026-05-06T22:15:54Z,99,5,9,10
2026-05-06T22:17:54Z,99,4,7,9
2026-05-06T22:19:54Z,99,3,6,6
2026-05-06T22:21:54Z,99,3,10,18
2026-05-06T22:23:54Z,99,4,10,11
2026-05-06T22:25:54Z,99,7,13,18
2026-05-06T22:27:54Z,99,4,12,13
2026-05-06T22:29:54Z,99,4,11,19
2026-05-06T22:31:54Z,99,3,8,9
2026-05-06T22:33:54Z,99,5,12,25
2026-05-06T22:35:54Z,99,5,11,21
2026-05-06T22:37:54Z,99,4,9,12
2026-05-06T22:39:54Z,99,3,10,13
2026-05-06T22:41:54Z,99,3,7,8
2026-05-06T22:43:54Z,99,3,8,10
2026-05-06T22:45:54Z,99,2,7,26
2026-05-06T22:47:54Z,99,1,7,9
2026-05-06T22:49:54Z,99,3,9,11
2026-05-06T22:51:54Z,99,2,7,9
2026-05-06T22:53:54Z,99,5,12,25
2026-05-06T22:55:54Z,99,4,8,9
2026-05-06T22:57:54Z,99,6,11,15
2026-05-06T23:04:38Z,99,5,9,10
2026-05-06T23:06:38Z,99,2,7,14
2026-05-06T23:08:38Z,99,5,9,11
2026-05-06T23:10:38Z,99,3,9,17
2026-05-06T23:12:38Z,99,4,7,18
2026-05-06T23:14:38Z,99,4,11,13
2026-05-06T23:16:38Z,99,2,6,8
2026-05-06T23:18:38Z,99,6,10,14
2026-05-06T23:20:38Z,99,7,9,10
2026-05-06T23:22:38Z,99,4,8,9
2026-05-06T23:24:38Z,99,9,13,20
2026-05-06T23:26:38Z,99,7,12,14
2026-05-06T23:28:38Z,99,5,7,12
2026-05-06T23:30:38Z,99,5,10,12
2026-05-06T23:32:38Z,99,6,11,12
2026-05-06T23:34:38Z,99,6,11,14
2026-05-06T23:36:38Z,99,5,10,14
2026-05-06T23:38:38Z,99,4,9,10
2026-05-06T23:40:38Z,99,5,12,12
2026-05-06T23:42:38Z,99,5,12,14
2026-05-06T23:44:38Z,99,4,9,11
2026-05-06T23:46:38Z,99,5,14,15
2026-05-06T23:48:38Z,99,5,9,11
2026-05-06T23:50:38Z,99,3,9,13
2026-05-06T23:52:38Z,99,2,6,7
2026-05-06T23:54:38Z,99,5,10,10
2026-05-06T23:56:38Z,99,4,12,13
2026-05-06T23:58:38Z,99,4,8,9
